구분,소유구분,LEVEL1,값,년(Annual),증감,증감율,구성비,누계,누계구성비
경상남도,국유지,지번수,657408,2021,657408,657408,0,0,0
경상남도,도유지,면적,272409740.4,2021,272409740.4,272409740.4,0,0,0
경상남도,도유지,지번수,133016,2021,133016,133016,0,0,0
경상남도,군유지,면적,592411254,2021,592411254,592411254,0,0,0
경상남도,군유지,지번수,510303,2021,510303,510303,0,0,0
경상남도,법인,면적,639026198.9,2021,639026198.9,639026198.9,0,0,0
경상남도,법인,지번수,208069,2021,208069,208069,0,0,0
경상남도,종중,면적,674210211.7,2021,674210211.7,674210211.7,0,0,0
경상남도,종중,지번수,77242,2021,77242,77242,0,0,0
경상남도,종교단체,면적,198080438.4,2021,198080438.4,198080438.4,0,0,0
경상남도,종교단체,지번수,13138,2021,13138,13138,0,0,0
경상남도,기타단체,면적,109263769.1,2021,109263769.1,109263769.1,0,0,0
경상남도,기타단체,지번수,21319,2021,21319,21319,0,0,0
경상남도,기타,면적,27723504.7,2021,27723504.7,27723504.7,0,0,0
경상남도,기타,지번수,12564,2021,12564,12564,0,0,0
제주특별자치도,합계,면적,1850278723.9,2021,1850278723.9,1850278723.9,0,0,0
제주특별자치도,합계,지번수,871532,2021,871532,871532,0,0,0
제주특별자치도,개인,면적,959916809.8,2021,959916809.8,959916809.8,0,0,0
제주특별자치도,개인,지번수,637907,2021,637907,637907,0,0,0
제주특별자치도,국유지,면적,399156438.4,2021,399156438.4,399156438.4,0,0,0
제주특별자치도,국유지,지번수,40984,2021,40984,40984,0,0,0
제주특별자치도,도유지,면적,128094162.3,2021,128094162.3,128094162.3,0,0,0
제주특별자치도,도유지,지번수,77031,2021,77031,77031,0,0,0
제주특별자치도,군유지,면적,22278924.8,2021,22278924.8,22278924.8,0,0,0
제주특별자치도,군유지,지번수,57952,2021,57952,57952,0,0,0
제주특별자치도,법인,면적,241448709.3,2021,241448709.3,241448709.3,0,0,0
제주특별자치도,법인,지번수,36609,2021,36609,36609,0,0,0
제주특별자치도,종중,면적,20724361.7,2021,20724361.7,20724361.7,0,0,0
제주특별자치도,종중,지번수,7922,2021,7922,7922,0,0,0
제주특별자치도,종교단체,면적,1875977.1,2021,1875977.1,1875977.1,0,0,0
제주특별자치도,종교단체,지번수,990,2021,990,990,0,0,0
제주특별자치도,기타단체,면적,68677390.1,2021,68677390.1,68677390.1,0,0,0
제주특별자치도,기타단체,지번수,6369,2021,6369,6369,0,0,0
제주특별자치도,기타,면적,8105950.4,2021,8105950.4,8105950.4,0,0,0
제주특별자치도,기타,지번수,5768,2021,5768,5768,0,0,0
