"평가년도","도서관구분","도서관코드","도서관명","면적","시군구","장서수","사서수","대출자수","대출권수"
2014,"LIBTYPE002",2060143002,"충주시립도서관","충북","충주시",216386,"4",518932,317363
2014,"LIBTYPE002",2060143023,"레인보우영동도서관","충북","영동군",23527,"1",153321,106559
2014,"LIBTYPE002",2060143014,"청주상당도서관","충북","청주시 상당구",71779,"2",214754,203157
2014,"LIBTYPE002",2030842001,"담작은도서관","강원","춘천시",25648,"4",138422,52871
2014,"LIBTYPE002",2030841001,"반달어린이도서관","경기","수원시 영통구",34994,"1",49286,28180
2014,"LIBTYPE002",2060841015,"두빛나래 어린이도서관","경기","화성시",55678,"3",380481,205196
2014,"LIBTYPE002",2060841003,"바른샘어린이도서관","경기","수원시 영통구",129329,"2",509812,435473
2014,"LIBTYPE002",2060841018,"평택시립지산초록도서관","경기","평택시",136274,"3",233459,216585
2014,"LIBTYPE002",2060841012,"고양시립행신어린이도서관","경기","고양시 덕양구",98543,"2",262606,286453
2014,"LIBTYPE002",2060841016,"이천시 어린이도서관","경기","이천시",66206,"2",220194,63569
2014,"LIBTYPE002",2060841007,"시흥시대야어린이도서관","경기","시흥시",105838,"1",182435,139121
2014,"LIBTYPE002",2060841023,"의왕시글로벌도서관","경기","의왕시",55352,"3",148975,124748
2014,"LIBTYPE002",2060841001,"슬기샘어린이도서관","경기","수원시 장안구",132801,"3",429731,350248
2014,"LIBTYPE002",2060841004,"안양어린이도서관","경기","안양시 동안구",91575,"3",436158,408725
2014,"LIBTYPE002",2060841009,"양평어린이도서관","경기","양평군",66478,"2",196473,74059
2014,"LIBTYPE002",2060841017,"정왕어린이도서관","경기","시흥시",45663,"2",110000,96403
2014,"LIBTYPE002",2060841013,"의정부어린이도서관","경기","의정부시",137220,"3",338517,241859
2014,"LIBTYPE002",2060841011,"고양시립화정어린이도서관","경기","고양시 덕양구",98123,"3",276663,294680
2014,"LIBTYPE002",2060841022,"성남시중원어린이도서관","경기","성남시 중원구",82101,"1",391418,223928
2014,"LIBTYPE002",2060841006,"안산단원어린이도서관","경기","안산시 단원구",105774,"3",77350,150276
2014,"LIBTYPE002",2060841005,"안산시립상록어린이도서관","경기","안산시 상록구",107957,"3",104852,163441
2014,"LIBTYPE002",2060841008,"군포시 어린이도서관","경기","군포시",109203,"3",334167,225591
2014,"LIBTYPE002",2060841021,"화성시립둥지나래어린이도서관","경기","화성시",55023,"3",226812,101795
2014,"LIBTYPE002",2060848003,"도동어린이도서관","경남","진주시",20565,"1",47974,37254
2014,"LIBTYPE002",2060848001,"진주시어린이전문도서관","경남","진주시",66196,"2",161860,118031
